Day,Road Type,# Accidents
12 may 2024,5,2
12 may 2024,20,11
12 may 2024,2,551
13 may 2024,1,592
13 may 2024,7,2516
13 may 2024,2,1376
13 may 2024,4,245
13 may 2024,20,21
13 may 2024,3,980
13 may 2024,6,493
13 may 2024,10,1
13 may 2024,17,7
14 may 2024,7,3152
14 may 2024,2,1941
14 may 2024,17,8
14 may 2024,1,799
14 may 2024,20,28
14 may 2024,6,683
14 may 2024,4,317
14 may 2024,3,1292
15 may 2024,20,16
15 may 2024,1,664
15 may 2024,17,8
15 may 2024,6,630
15 may 2024,5,1
15 may 2024,3,1223
15 may 2024,4,252
15 may 2024,7,2956
15 may 2024,2,1434
16 may 2024,2,2205
16 may 2024,3,1437
16 may 2024,7,3599
16 may 2024,17,10
16 may 2024,5,3
16 may 2024,1,946
16 may 2024,6,730
16 may 2024,4,356
16 may 2024,10,1
16 may 2024,20,30
17 may 2024,3,1641
17 may 2024,6,753
17 may 2024,1,951
17 may 2024,4,351
17 may 2024,5,1
17 may 2024,17,11
17 may 2024,7,3712
17 may 2024,2,2229
17 may 2024,20,24
18 may 2024,1,738
18 may 2024,4,342
18 may 2024,2,1898
18 may 2024,6,770
18 may 2024,3,1602
18 may 2024,7,3218
18 may 2024,20,38
18 may 2024,17,10
19 may 2024,17,3
19 may 2024,2,604
19 may 2024,7,911
19 may 2024,20,18
19 may 2024,1,324
19 may 2024,6,320
19 may 2024,5,1
19 may 2024,3,426
19 may 2024,4,78
19 may 2024,10,1
20 may 2024,17,14
20 may 2024,5,2
20 may 2024,6,535
20 may 2024,7,2388
20 may 2024,4,223
20 may 2024,3,1120
20 may 2024,2,1410
20 may 2024,1,622
20 may 2024,20,22
21 may 2024,4,278
21 may 2024,5,1
21 may 2024,2,1747
21 may 2024,7,2839
21 may 2024,17,4
21 may 2024,3,1168
21 may 2024,20,20
21 may 2024,1,790
21 may 2024,6,632
22 may 2024,1,766
22 may 2024,4,261
22 may 2024,17,6
22 may 2024,3,1138
22 may 2024,7,3218
22 may 2024,20,23
22 may 2024,6,688
22 may 2024,2,1742
23 may 2024,6,680
23 may 2024,2,1815
23 may 2024,1,805
23 may 2024,7,3215
23 may 2024,17,6
23 may 2024,4,304
23 may 2024,3,1366
23 may 2024,20,29
24 may 2024,1,791
24 may 2024,5,2
24 may 2024,6,631
24 may 2024,17,4
24 may 2024,2,1860
24 may 2024,4,317
24 may 2024,20,24
24 may 2024,7,3431
24 may 2024,3,1509
25 may 2024,6,656
25 may 2024,3,1307
25 may 2024,2,1396
25 may 2024,4,209
25 may 2024,7,2750
25 may 2024,1,649
25 may 2024,5,12
25 may 2024,20,17
25 may 2024,17,3
26 may 2024,7,937
26 may 2024,20,18
26 may 2024,17,3
26 may 2024,1,313
26 may 2024,2,664
26 may 2024,3,419
26 may 2024,5,2
26 may 2024,4,76
26 may 2024,6,252
26 may 2024,10,1
27 may 2024,6,446
27 may 2024,17,6
27 may 2024,3,927
27 may 2024,5,4
27 may 2024,2,1211
27 may 2024,4,174
27 may 2024,1,473
27 may 2024,7,2035
27 may 2024,20,19
28 may 2024,17,5
28 may 2024,5,2
28 may 2024,6,609
28 may 2024,20,18
28 may 2024,1,676
28 may 2024,4,262
28 may 2024,3,1121
28 may 2024,2,1641
28 may 2024,7,2702
28 may 2024,10,2
29 may 2024,7,3628
29 may 2024,6,725
29 may 2024,3,1282
29 may 2024,20,18
29 may 2024,17,13
29 may 2024,2,2097
29 may 2024,4,312
29 may 2024,1,993
29 may 2024,5,4
30 may 2024,1,1002
30 may 2024,6,681
30 may 2024,3,1337
30 may 2024,4,301
30 may 2024,20,26
30 may 2024,7,3519
30 may 2024,2,2029
30 may 2024,5,6
30 may 2024,17,7
31 may 2024,2,1700
31 may 2024,7,3310
31 may 2024,3,1453
31 may 2024,6,652
31 may 2024,4,282
31 may 2024,5,1
31 may 2024,17,5
31 may 2024,10,1
31 may 2024,1,750
31 may 2024,20,20
1 jun 2024,20,20
1 jun 2024,2,1544
1 jun 2024,3,1106
1 jun 2024,7,2776
1 jun 2024,6,740
1 jun 2024,1,679
1 jun 2024,17,5
1 jun 2024,4,253
2 jun 2024,2,954
2 jun 2024,4,99
2 jun 2024,6,403
2 jun 2024,7,1281
2 jun 2024,3,445
2 jun 2024,20,17
2 jun 2024,1,455
2 jun 2024,5,7
2 jun 2024,17,7
3 jun 2024,2,1274
3 jun 2024,7,2316
3 jun 2024,20,21
3 jun 2024,3,932
3 jun 2024,1,555
3 jun 2024,4,222
3 jun 2024,17,5
3 jun 2024,10,1
3 jun 2024,6,455
4 jun 2024,17,6
4 jun 2024,3,1049
4 jun 2024,5,2
4 jun 2024,6,581
4 jun 2024,4,256
4 jun 2024,7,2772
4 jun 2024,20,21
4 jun 2024,1,693
4 jun 2024,2,1706
5 jun 2024,4,265
5 jun 2024,10,2
5 jun 2024,7,3206
5 jun 2024,2,1908
5 jun 2024,3,1313
5 jun 2024,20,16
5 jun 2024,1,808
5 jun 2024,6,610
5 jun 2024,17,7
6 jun 2024,4,279
6 jun 2024,6,641
6 jun 2024,2,1875
6 jun 2024,20,25
6 jun 2024,7,3150
6 jun 2024,17,11
6 jun 2024,1,828
6 jun 2024,3,1311
7 jun 2024,4,341
7 jun 2024,2,2020
7 jun 2024,1,937
7 jun 2024,20,30
7 jun 2024,10,1
7 jun 2024,7,3772
7 jun 2024,6,718
7 jun 2024,3,1482
7 jun 2024,17,15
8 jun 2024,5,1
8 jun 2024,10,1
8 jun 2024,3,1166
8 jun 2024,6,688
8 jun 2024,20,25
8 jun 2024,17,10
8 jun 2024,1,797
8 jun 2024,7,2937
8 jun 2024,4,274
8 jun 2024,2,1793
9 jun 2024,1,374
9 jun 2024,20,17
9 jun 2024,10,1
9 jun 2024,4,100
9 jun 2024,3,567
9 jun 2024,7,1084
9 jun 2024,17,6
9 jun 2024,2,667
9 jun 2024,6,328
10 jun 2024,7,1565
10 jun 2024,1,361
10 jun 2024,20,11
10 jun 2024,4,160
10 jun 2024,17,5
10 jun 2024,2,773
10 jun 2024,3,737
10 jun 2024,6,387
11 jun 2024,4,286
11 jun 2024,7,2913
11 jun 2024,1,688
11 jun 2024,6,655
11 jun 2024,20,20
11 jun 2024,3,1148
11 jun 2024,17,11
11 jun 2024,2,1549
12 jun 2024,1,717
12 jun 2024,3,1288
12 jun 2024,7,2934
12 jun 2024,2,1551
12 jun 2024,6,691
12 jun 2024,17,5
12 jun 2024,20,18
12 jun 2024,4,255
12 jun 2024,5,4
13 jun 2024,2,1743
13 jun 2024,3,1310
13 jun 2024,7,2997
13 jun 2024,4,312
13 jun 2024,17,17
13 jun 2024,1,760
13 jun 2024,10,1
13 jun 2024,5,1
13 jun 2024,6,642
13 jun 2024,20,19
14 jun 2024,4,319
14 jun 2024,3,1470
14 jun 2024,6,762
14 jun 2024,7,3878
14 jun 2024,2,2111
14 jun 2024,1,952
14 jun 2024,17,7
14 jun 2024,20,23
15 jun 2024,17,10
15 jun 2024,6,738
15 jun 2024,4,295
15 jun 2024,3,1291
15 jun 2024,2,1975
15 jun 2024,7,3355
15 jun 2024,1,1126
15 jun 2024,20,28
15 jun 2024,10,2
16 jun 2024,20,28
16 jun 2024,2,800
16 jun 2024,7,1543
16 jun 2024,17,3
16 jun 2024,4,131
16 jun 2024,1,411
16 jun 2024,3,502
16 jun 2024,5,1
16 jun 2024,6,433
16 jun 2024,10,2
17 jun 2024,1,617
17 jun 2024,2,1128
17 jun 2024,20,19
17 jun 2024,17,1
17 jun 2024,3,883
17 jun 2024,4,200
17 jun 2024,10,1
17 jun 2024,7,2024
17 jun 2024,6,569
18 jun 2024,6,618
18 jun 2024,7,2556
18 jun 2024,20,20
18 jun 2024,3,1098
18 jun 2024,2,1475
18 jun 2024,1,697
18 jun 2024,4,265
18 jun 2024,17,6
19 jun 2024,6,674
19 jun 2024,4,301
19 jun 2024,2,1568
19 jun 2024,17,15
19 jun 2024,10,1
19 jun 2024,20,22
19 jun 2024,1,681
19 jun 2024,7,2955
19 jun 2024,3,1283
20 jun 2024,20,23
20 jun 2024,4,277
20 jun 2024,7,3237
20 jun 2024,1,825
20 jun 2024,17,6
20 jun 2024,3,1195
20 jun 2024,2,1769
20 jun 2024,6,600
21 jun 2024,17,8
21 jun 2024,4,328
21 jun 2024,6,640
21 jun 2024,2,2081
21 jun 2024,3,1485
21 jun 2024,1,965
21 jun 2024,7,3421
21 jun 2024,20,17
22 jun 2024,1,856
22 jun 2024,4,254
22 jun 2024,3,1184
22 jun 2024,20,28
22 jun 2024,7,3024
22 jun 2024,2,1640
22 jun 2024,17,3
22 jun 2024,6,679
23 jun 2024,7,1105
23 jun 2024,20,21
23 jun 2024,3,400
23 jun 2024,5,2
23 jun 2024,2,722
23 jun 2024,17,9
23 jun 2024,4,97
23 jun 2024,1,462
23 jun 2024,6,311
24 jun 2024,2,1895
24 jun 2024,4,271
24 jun 2024,17,13
24 jun 2024,20,24
24 jun 2024,6,622
24 jun 2024,7,3213
24 jun 2024,3,970
24 jun 2024,1,941
25 jun 2024,7,3483
25 jun 2024,2,2204
25 jun 2024,6,694
25 jun 2024,17,7
25 jun 2024,20,21
25 jun 2024,3,1221
25 jun 2024,1,1101
25 jun 2024,4,336
26 jun 2024,4,294
26 jun 2024,17,8
26 jun 2024,1,854
26 jun 2024,7,3165
26 jun 2024,6,646
26 jun 2024,20,29
26 jun 2024,3,1174
26 jun 2024,2,1786
27 jun 2024,1,872
27 jun 2024,3,1261
27 jun 2024,20,21
27 jun 2024,17,6
27 jun 2024,6,609
27 jun 2024,7,3258
27 jun 2024,10,1
27 jun 2024,2,1770
27 jun 2024,4,280
28 jun 2024,20,28
28 jun 2024,17,9
28 jun 2024,3,1980
28 jun 2024,7,5269
28 jun 2024,1,1553
28 jun 2024,10,2
28 jun 2024,6,901
28 jun 2024,2,2865
28 jun 2024,4,422
28 jun 2024,5,1
29 jun 2024,20,23
29 jun 2024,3,1452
29 jun 2024,17,11
29 jun 2024,1,1639
29 jun 2024,7,4789
29 jun 2024,2,2969
29 jun 2024,6,912
29 jun 2024,4,344
29 jun 2024,5,1
30 jun 2024,17,5
30 jun 2024,6,368
30 jun 2024,2,1151
30 jun 2024,5,2
30 jun 2024,20,21
30 jun 2024,1,662
30 jun 2024,3,396
30 jun 2024,7,1742
30 jun 2024,4,141
1 jul 2024,3,1112
1 jul 2024,20,15
1 jul 2024,6,633
1 jul 2024,7,2994
1 jul 2024,4,279
1 jul 2024,2,1784
1 jul 2024,1,833
1 jul 2024,10,2
1 jul 2024,17,4
2 jul 2024,1,1337
2 jul 2024,4,377
2 jul 2024,3,1650
2 jul 2024,6,879
2 jul 2024,7,4285
2 jul 2024,20,39
2 jul 2024,2,2634
2 jul 2024,17,13
2 jul 2024,10,4
3 jul 2024,17,15
3 jul 2024,7,6558
3 jul 2024,20,51
3 jul 2024,2,4475
3 jul 2024,10,1
3 jul 2024,6,1097
3 jul 2024,1,2247
3 jul 2024,3,2031
3 jul 2024,5,2
3 jul 2024,4,554
4 jul 2024,6,850
4 jul 2024,7,3992
4 jul 2024,5,1
4 jul 2024,20,27
4 jul 2024,3,1283
4 jul 2024,17,6
4 jul 2024,10,1
4 jul 2024,4,321
4 jul 2024,1,1186
4 jul 2024,2,2471
5 jul 2024,1,1096
5 jul 2024,4,361
5 jul 2024,7,3822
5 jul 2024,2,2317
5 jul 2024,3,1338
5 jul 2024,6,837
5 jul 2024,10,1
5 jul 2024,5,1
5 jul 2024,17,8
5 jul 2024,20,20
6 jul 2024,3,1172
6 jul 2024,1,822
6 jul 2024,4,253
6 jul 2024,17,4
6 jul 2024,2,1924
6 jul 2024,5,1
6 jul 2024,20,21
6 jul 2024,6,742
6 jul 2024,7,3139
7 jul 2024,6,399
7 jul 2024,20,9
7 jul 2024,3,519
7 jul 2024,4,165
7 jul 2024,10,1
7 jul 2024,17,8
7 jul 2024,1,547
7 jul 2024,2,1078
7 jul 2024,7,1438
8 jul 2024,20,22
8 jul 2024,3,1072
8 jul 2024,4,259
8 jul 2024,17,7
8 jul 2024,2,1722
8 jul 2024,1,810
8 jul 2024,7,2864
8 jul 2024,6,665
8 jul 2024,5,1
9 jul 2024,7,3888
9 jul 2024,1,1110
9 jul 2024,20,32
9 jul 2024,2,2761
9 jul 2024,6,828
9 jul 2024,4,364
9 jul 2024,17,8
9 jul 2024,5,1
9 jul 2024,3,1151
10 jul 2024,20,18
10 jul 2024,10,1
10 jul 2024,17,6
10 jul 2024,4,334
10 jul 2024,3,1284
10 jul 2024,6,866
10 jul 2024,1,1011
10 jul 2024,7,3792
10 jul 2024,2,2179
11 jul 2024,7,4624
11 jul 2024,5,1
11 jul 2024,4,383
11 jul 2024,6,944
11 jul 2024,1,1267
11 jul 2024,17,9
11 jul 2024,3,1730
11 jul 2024,20,33
11 jul 2024,2,2743
12 jul 2024,20,22
12 jul 2024,2,2724
12 jul 2024,17,9
12 jul 2024,1,1420
12 jul 2024,4,355
12 jul 2024,7,4396
12 jul 2024,10,3
12 jul 2024,6,848
12 jul 2024,3,1458
13 jul 2024,3,1198
13 jul 2024,1,963
13 jul 2024,6,707
13 jul 2024,17,15
13 jul 2024,7,3208
13 jul 2024,4,252
13 jul 2024,2,1964
13 jul 2024,20,29
13 jul 2024,10,2
14 jul 2024,3,376
14 jul 2024,2,969
14 jul 2024,17,2
14 jul 2024,20,9
14 jul 2024,4,92
14 jul 2024,7,1260
14 jul 2024,1,567
14 jul 2024,6,296
15 jul 2024,2,2085
15 jul 2024,4,331
15 jul 2024,3,1263
15 jul 2024,5,1
15 jul 2024,17,9
15 jul 2024,1,1034
15 jul 2024,7,3682
15 jul 2024,20,32
15 jul 2024,6,850
16 jul 2024,17,6
16 jul 2024,7,4808
16 jul 2024,1,1489
16 jul 2024,3,1385
16 jul 2024,4,336
16 jul 2024,2,3013
16 jul 2024,6,908
16 jul 2024,20,34
17 jul 2024,1,1256
17 jul 2024,10,4
17 jul 2024,2,2542
17 jul 2024,6,862
17 jul 2024,7,4274
17 jul 2024,3,1299
17 jul 2024,20,25
17 jul 2024,17,9
17 jul 2024,4,327
18 jul 2024,7,3812
18 jul 2024,2,2319
18 jul 2024,3,1337
18 jul 2024,5,1
18 jul 2024,10,1
18 jul 2024,1,1252
18 jul 2024,6,692
18 jul 2024,20,25
18 jul 2024,4,244
18 jul 2024,17,7
19 jul 2024,20,41
19 jul 2024,4,316
19 jul 2024,3,1538
19 jul 2024,17,9
19 jul 2024,6,849
19 jul 2024,7,4010
19 jul 2024,1,1025
19 jul 2024,2,2284
20 jul 2024,20,37
20 jul 2024,7,4549
20 jul 2024,3,1794
20 jul 2024,2,2841
20 jul 2024,6,901
20 jul 2024,4,467
20 jul 2024,10,2
20 jul 2024,1,1269
20 jul 2024,5,2
20 jul 2024,17,8
21 jul 2024,2,1442
21 jul 2024,7,2115
21 jul 2024,20,29
21 jul 2024,17,9
21 jul 2024,10,3
21 jul 2024,3,672
21 jul 2024,4,185
21 jul 2024,6,525
21 jul 2024,1,715
22 jul 2024,7,2670
22 jul 2024,2,1545
22 jul 2024,17,5
22 jul 2024,3,845
22 jul 2024,20,20
22 jul 2024,10,2
22 jul 2024,1,810
22 jul 2024,4,237
22 jul 2024,6,739
23 jul 2024,7,3083
23 jul 2024,20,24
23 jul 2024,2,1987
23 jul 2024,4,295
23 jul 2024,10,1
23 jul 2024,17,6
23 jul 2024,6,833
23 jul 2024,3,1239
23 jul 2024,1,911
24 jul 2024,1,1330
24 jul 2024,4,295
24 jul 2024,6,763
24 jul 2024,3,1303
24 jul 2024,17,8
24 jul 2024,20,27
24 jul 2024,5,1
24 jul 2024,2,2420
24 jul 2024,7,3936
25 jul 2024,1,1803
25 jul 2024,2,3034
25 jul 2024,17,18
25 jul 2024,7,4493
25 jul 2024,6,799
25 jul 2024,20,40
25 jul 2024,3,1436
25 jul 2024,10,1
25 jul 2024,4,407
26 jul 2024,4,347
26 jul 2024,6,683
26 jul 2024,17,13
26 jul 2024,2,2567
26 jul 2024,7,3968
26 jul 2024,3,1476
26 jul 2024,5,2
26 jul 2024,1,1370
26 jul 2024,20,25
27 jul 2024,2,2118
27 jul 2024,7,3415
27 jul 2024,6,685
27 jul 2024,4,283
27 jul 2024,3,1156
27 jul 2024,20,31
27 jul 2024,1,1079
27 jul 2024,17,4
28 jul 2024,4,99
28 jul 2024,17,12
28 jul 2024,20,15
28 jul 2024,2,1079
28 jul 2024,1,620
28 jul 2024,3,510
28 jul 2024,10,1
28 jul 2024,7,1464
28 jul 2024,5,2
28 jul 2024,6,384
29 jul 2024,4,230
29 jul 2024,1,911
29 jul 2024,5,1
29 jul 2024,10,1
29 jul 2024,3,1119
29 jul 2024,2,1722
29 jul 2024,7,2776
29 jul 2024,6,485
29 jul 2024,20,28
29 jul 2024,17,12
30 jul 2024,6,745
30 jul 2024,7,4227
30 jul 2024,4,389
30 jul 2024,1,1376
30 jul 2024,20,24
30 jul 2024,2,2582
30 jul 2024,17,5
30 jul 2024,3,1393
31 jul 2024,1,1411
31 jul 2024,6,718
31 jul 2024,20,29
31 jul 2024,17,7
31 jul 2024,2,2669
31 jul 2024,3,1418
31 jul 2024,10,1
31 jul 2024,7,3959
31 jul 2024,4,366
1 ago 2024,6,796
1 ago 2024,3,1313
1 ago 2024,4,323
1 ago 2024,1,1320
1 ago 2024,2,2696
1 ago 2024,10,1
1 ago 2024,20,31
1 ago 2024,7,3918
1 ago 2024,17,7
2 ago 2024,20,27
2 ago 2024,10,1
2 ago 2024,2,2890
2 ago 2024,17,7
2 ago 2024,3,1613
2 ago 2024,7,4477
2 ago 2024,4,346
2 ago 2024,6,844
2 ago 2024,1,1464
3 ago 2024,20,21
3 ago 2024,5,1
3 ago 2024,1,1127
3 ago 2024,3,1169
3 ago 2024,7,3569
3 ago 2024,4,300
3 ago 2024,10,1
3 ago 2024,6,804
3 ago 2024,2,2225
3 ago 2024,17,7
4 ago 2024,3,510
4 ago 2024,2,1130
4 ago 2024,6,425
4 ago 2024,4,127
4 ago 2024,10,1
4 ago 2024,5,1
4 ago 2024,20,12
4 ago 2024,7,1702
4 ago 2024,17,3
4 ago 2024,1,661
5 ago 2024,1,923
5 ago 2024,7,2897
5 ago 2024,6,672
5 ago 2024,5,2
5 ago 2024,2,1873
5 ago 2024,20,20
5 ago 2024,4,231
5 ago 2024,3,946
5 ago 2024,17,8
6 ago 2024,2,2694
6 ago 2024,20,27
6 ago 2024,4,318
6 ago 2024,3,1445
6 ago 2024,7,4188
6 ago 2024,6,761
6 ago 2024,17,13
6 ago 2024,10,1
6 ago 2024,1,1326
7 ago 2024,1,1131
7 ago 2024,3,1146
7 ago 2024,17,10
7 ago 2024,7,3606
7 ago 2024,6,632
7 ago 2024,4,318
7 ago 2024,2,2207
7 ago 2024,20,38
8 ago 2024,6,727
8 ago 2024,3,1528
8 ago 2024,4,324
8 ago 2024,2,2379
8 ago 2024,7,3795
8 ago 2024,20,30
8 ago 2024,17,9
8 ago 2024,1,1160
9 ago 2024,2,2871
9 ago 2024,3,1621
9 ago 2024,1,1367
9 ago 2024,20,28
9 ago 2024,6,821
9 ago 2024,10,1
9 ago 2024,17,16
9 ago 2024,4,409
9 ago 2024,7,4634
9 ago 2024,5,2
10 ago 2024,5,2
10 ago 2024,17,6
10 ago 2024,20,23
10 ago 2024,2,2302
10 ago 2024,6,706
10 ago 2024,7,3449
10 ago 2024,10,1
10 ago 2024,1,1091
10 ago 2024,4,251
10 ago 2024,3,1333
11 ago 2024,3,418
11 ago 2024,20,22
11 ago 2024,7,1614
11 ago 2024,1,565
11 ago 2024,17,1
11 ago 2024,4,117
11 ago 2024,2,1054
11 ago 2024,6,402
12 ago 2024,4,296
12 ago 2024,17,4
12 ago 2024,20,29
12 ago 2024,7,3272
12 ago 2024,5,1
12 ago 2024,2,1855
12 ago 2024,3,1247
12 ago 2024,6,648
12 ago 2024,1,987
13 ago 2024,7,4412
13 ago 2024,17,7
13 ago 2024,2,2796
13 ago 2024,6,799
13 ago 2024,3,1652
13 ago 2024,20,42
13 ago 2024,4,418
13 ago 2024,10,1
13 ago 2024,1,1248
13 ago 2024,5,1
14 ago 2024,5,2
14 ago 2024,20,39
14 ago 2024,6,884
14 ago 2024,7,4415
14 ago 2024,17,10
14 ago 2024,1,1515
14 ago 2024,3,1704
14 ago 2024,2,2983
14 ago 2024,4,418
15 ago 2024,1,1766
15 ago 2024,7,5507
15 ago 2024,4,533
15 ago 2024,17,13
15 ago 2024,6,1101
15 ago 2024,3,1892
15 ago 2024,2,3648
15 ago 2024,20,54
16 ago 2024,17,8
16 ago 2024,7,5071
16 ago 2024,2,3248
16 ago 2024,1,1596
16 ago 2024,20,30
16 ago 2024,6,984
16 ago 2024,3,1640
16 ago 2024,5,1
16 ago 2024,4,448
17 ago 2024,17,6
17 ago 2024,2,2672
17 ago 2024,3,1549
17 ago 2024,10,2
17 ago 2024,20,41
17 ago 2024,6,921
17 ago 2024,1,1334
17 ago 2024,7,3955
17 ago 2024,4,365
18 ago 2024,1,866
18 ago 2024,3,565
18 ago 2024,7,1886
18 ago 2024,20,21
18 ago 2024,5,1
18 ago 2024,17,8
18 ago 2024,2,1435
18 ago 2024,4,158
18 ago 2024,6,582
19 ago 2024,4,303
19 ago 2024,20,26
19 ago 2024,10,1
19 ago 2024,7,3564
19 ago 2024,17,14
19 ago 2024,6,791
19 ago 2024,1,1176
19 ago 2024,3,1233
19 ago 2024,2,2230
20 ago 2024,7,4404
20 ago 2024,1,1477
20 ago 2024,20,44
20 ago 2024,2,2891
20 ago 2024,3,1522
20 ago 2024,17,12
20 ago 2024,4,466
20 ago 2024,6,769
21 ago 2024,20,23
21 ago 2024,2,2595
21 ago 2024,4,433
21 ago 2024,1,1279
21 ago 2024,6,793
21 ago 2024,3,1628
21 ago 2024,7,4170
21 ago 2024,17,5
21 ago 2024,5,1
22 ago 2024,4,400
22 ago 2024,2,2509
22 ago 2024,20,39
22 ago 2024,17,13
22 ago 2024,3,1533
22 ago 2024,1,1293
22 ago 2024,7,4183
22 ago 2024,6,775
23 ago 2024,6,816
23 ago 2024,7,4379
23 ago 2024,2,2793
23 ago 2024,20,34
23 ago 2024,4,385
23 ago 2024,1,1361
23 ago 2024,3,1740
23 ago 2024,17,11
23 ago 2024,5,2
24 ago 2024,1,1111
24 ago 2024,4,317
24 ago 2024,7,3537
24 ago 2024,2,2256
24 ago 2024,3,1236
24 ago 2024,17,5
24 ago 2024,20,29
24 ago 2024,6,815
25 ago 2024,7,1493
25 ago 2024,6,291
25 ago 2024,17,6
25 ago 2024,1,572
25 ago 2024,20,12
25 ago 2024,2,1087
25 ago 2024,3,394
25 ago 2024,4,100
26 ago 2024,2,2621
26 ago 2024,6,644
26 ago 2024,1,1193
26 ago 2024,4,327
26 ago 2024,20,30
26 ago 2024,7,3562
26 ago 2024,3,1460
26 ago 2024,17,11
26 ago 2024,5,1
27 ago 2024,1,1391
27 ago 2024,20,28
27 ago 2024,7,4142
27 ago 2024,17,12
27 ago 2024,3,1464
27 ago 2024,5,1
27 ago 2024,2,2907
27 ago 2024,4,410
27 ago 2024,6,789
28 ago 2024,7,4350
28 ago 2024,5,1
28 ago 2024,3,1436
28 ago 2024,4,379
28 ago 2024,2,2953
28 ago 2024,17,15
28 ago 2024,6,828
28 ago 2024,10,1
28 ago 2024,1,1355
28 ago 2024,20,26
29 ago 2024,7,5156
29 ago 2024,3,1715
29 ago 2024,2,3624
29 ago 2024,20,36
29 ago 2024,4,523
29 ago 2024,6,952
29 ago 2024,5,2
29 ago 2024,1,1768
29 ago 2024,17,21
30 ago 2024,17,20
30 ago 2024,4,554
30 ago 2024,6,1110
30 ago 2024,7,5759
30 ago 2024,3,1888
30 ago 2024,2,4010
30 ago 2024,1,2013
30 ago 2024,20,46
31 ago 2024,7,4987
31 ago 2024,3,1735
31 ago 2024,6,1119
31 ago 2024,4,405
31 ago 2024,17,17
31 ago 2024,1,2005
31 ago 2024,20,51
31 ago 2024,2,3237
31 ago 2024,5,2
1 sept 2024,20,16
1 sept 2024,5,3
1 sept 2024,6,405
1 sept 2024,10,3
1 sept 2024,3,542
1 sept 2024,2,1052
1 sept 2024,1,615
1 sept 2024,17,7
1 sept 2024,4,130
1 sept 2024,7,1511
2 sept 2024,17,22
2 sept 2024,10,1
2 sept 2024,1,1703
2 sept 2024,3,1466
2 sept 2024,7,4430
2 sept 2024,2,3436
2 sept 2024,20,40
2 sept 2024,4,440
2 sept 2024,6,995
3 sept 2024,4,639
3 sept 2024,17,17
3 sept 2024,1,2159
3 sept 2024,5,2
3 sept 2024,2,4624
3 sept 2024,7,6208
3 sept 2024,20,50
3 sept 2024,6,1134
3 sept 2024,3,1973
4 sept 2024,2,4499
4 sept 2024,10,1
4 sept 2024,4,551
4 sept 2024,17,21
4 sept 2024,6,1067
4 sept 2024,7,5823
4 sept 2024,5,3
4 sept 2024,3,1951
4 sept 2024,20,58
4 sept 2024,1,2142
5 sept 2024,5,2
5 sept 2024,7,5128
5 sept 2024,3,1712
5 sept 2024,6,975
5 sept 2024,17,12
5 sept 2024,4,472
5 sept 2024,1,1836
5 sept 2024,2,3840
5 sept 2024,20,53
6 sept 2024,20,40
6 sept 2024,17,20
6 sept 2024,2,4510
6 sept 2024,10,3
6 sept 2024,7,5750
6 sept 2024,4,553
6 sept 2024,6,1013
6 sept 2024,3,1828
6 sept 2024,1,2119
7 sept 2024,4,370
7 sept 2024,7,4151
7 sept 2024,17,9
7 sept 2024,6,784
7 sept 2024,1,1391
7 sept 2024,20,24
7 sept 2024,3,1533
7 sept 2024,2,2595
8 sept 2024,4,115
8 sept 2024,20,21
8 sept 2024,3,450
8 sept 2024,7,1322
8 sept 2024,1,555
8 sept 2024,2,979
8 sept 2024,6,368
8 sept 2024,17,2
8 sept 2024,5,1
8 sept 2024,10,1
9 sept 2024,6,680
9 sept 2024,2,2643
9 sept 2024,4,357
9 sept 2024,20,31
9 sept 2024,1,1231
9 sept 2024,10,1
9 sept 2024,3,1134
9 sept 2024,5,1
9 sept 2024,17,9
9 sept 2024,7,3539
10 sept 2024,2,3228
10 sept 2024,3,1453
10 sept 2024,20,40
10 sept 2024,4,458
10 sept 2024,5,2
10 sept 2024,6,981
10 sept 2024,17,12
10 sept 2024,7,4358
10 sept 2024,1,1391
11 sept 2024,4,414
11 sept 2024,17,18
11 sept 2024,10,1
11 sept 2024,3,1355
11 sept 2024,2,2965
11 sept 2024,7,4133
11 sept 2024,1,1374
11 sept 2024,6,843
11 sept 2024,20,26
11 sept 2024,5,3
12 sept 2024,6,854
12 sept 2024,3,1500
12 sept 2024,4,431
12 sept 2024,1,1371
12 sept 2024,20,26
12 sept 2024,7,4403
12 sept 2024,17,14
12 sept 2024,5,1
12 sept 2024,2,3301
13 sept 2024,1,1685
13 sept 2024,6,1030
13 sept 2024,2,3521
13 sept 2024,10,2
13 sept 2024,3,1910
13 sept 2024,7,5142
13 sept 2024,17,5
13 sept 2024,20,26
13 sept 2024,4,466
14 sept 2024,3,1284
14 sept 2024,1,1151
14 sept 2024,6,868
14 sept 2024,2,2234
14 sept 2024,4,272
14 sept 2024,17,6
14 sept 2024,5,1
14 sept 2024,20,36
14 sept 2024,7,3602
15 sept 2024,20,12
15 sept 2024,3,285
15 sept 2024,2,855
15 sept 2024,17,5
15 sept 2024,1,562
15 sept 2024,10,1
15 sept 2024,6,274
15 sept 2024,4,100
15 sept 2024,5,2
15 sept 2024,7,980
16 sept 2024,1,445
16 sept 2024,4,91
16 sept 2024,6,176
16 sept 2024,2,631
16 sept 2024,20,18
16 sept 2024,17,2
16 sept 2024,7,859
16 sept 2024,3,222
17 sept 2024,3,1377
17 sept 2024,1,1187
17 sept 2024,7,3752
